"","Competency","Correlation","P_Value","adj_P_Value"
"1","A3",0.4,2.98461514641008e-09,4.31530783820472e-09
"2","B3",0.23,0.000925832969995275,0.000925832969995275
"3","C3",0.5,7.25794913540813e-14,2.75802067145509e-13
"4","D3",0.4,3.17970051236138e-09,4.31530783820472e-09
"5","E3",0.41,1.13466739716986e-09,1.95988004965704e-09
"6","F3",0.35,2.65841268677801e-07,3.15686506554888e-07
"7","G3",0.44,1.56047076158302e-10,2.96489444700774e-10
"8","H3",0.28,6.10750890935195e-05,6.44681495987151e-05
"9","I3",0.35,5.16301673819425e-07,5.77043047209946e-07
"10","J3",0.46,2.83501263894696e-12,6.73315501749902e-12
"11","K3",0.57,6.69104665010557e-19,1.27129886352006e-17
"12","L3",0.44,2.3730151226399e-11,5.00969859223978e-11
"13","M3",0.4,2.9379805604402e-09,4.31530783820472e-09
"14","N1",0.56,1.68493250067883e-17,1.60068587564489e-16
"15","O1",0.54,3.25256735285386e-15,2.05995932347411e-14
"16","P1",0.54,2.48119617737199e-13,7.85712122834462e-13
"17","Q1",0.52,6.76618472123612e-14,2.75802067145509e-13
"18","R1",0.41,3.52173983598959e-09,4.46087045892015e-09
"19","S1",0.53,3.49672998851997e-13,9.49112425455421e-13
